before ##############################
cost: 0.0010433
total mass  : 125.664
partial mass: 125.664
XM
-0.104257 0.263335 0.444849
-0.120586 0.256268 0.444849
-0.136439 0.248189 0.444849
-0.151754 0.239131 0.444849
-0.16647 0.22913 0.444849
-0.180529 0.218224 0.444849
-0.193875 0.206457 0.444849
-0.206457 0.193875 0.444849
-0.218224 0.180529 0.444849
-0.22913 0.16647 0.444849
-0.239131 0.151754 0.444849
-0.248189 0.136439 0.444849
-0.256268 0.120586 0.444849
-0.263335 0.104257 0.444849
-0.269362 0.0875169 0.444849
-0.274327 0.0704315 0.444849
-0.278208 0.0530682 0.444849
-0.280992 0.0354956 0.444849
-0.282667 0.0177829 0.444849
-0.283226 -2.04227e-10 0.444849
-0.282667 -0.0177829 0.444849
-0.280992 -0.0354956 0.444849
-0.278208 -0.0530682 0.444849
-0.274327 -0.0704315 0.444849
-0.269362 -0.0875169 0.444849
-0.263335 -0.104257 0.444849
-0.256268 -0.120586 0.444849
-0.248189 -0.136439 0.444849
-0.239131 -0.151754 0.444849
-0.22913 -0.16647 0.444849
-0.218224 -0.180529 0.444849
-0.206457 -0.193875 0.444849
-0.193875 -0.206457 0.444849
-0.180529 -0.218224 0.444849
-0.16647 -0.22913 0.444849
-0.151754 -0.239131 0.444849
-0.136439 -0.248189 0.444849
-0.120586 -0.256268 0.444849
-0.104257 -0.263335 0.444849
-0.0875169 -0.269362 0.444849
-0.0704315 -0.274327 0.444849
-0.0530682 -0.278208 0.444849
-0.0354956 -0.280992 0.444849
-0.0177829 -0.282667 0.444849
2.1401e-10 -0.283226 0.444849
0.0177829 -0.282667 0.444849
0.0354956 -0.280992 0.444849
0.0530682 -0.278208 0.444849
0.0704315 -0.274327 0.444849
0.0875169 -0.269362 0.444849
0.104257 -0.263335 0.444849
0.120586 -0.256268 0.444849
0.136439 -0.248189 0.444849
0.151754 -0.239131 0.444849
0.16647 -0.22913 0.444849
0.180529 -0.218224 0.444849
0.193875 -0.206457 0.444849
0.206457 -0.193875 0.444849
0.218224 -0.180529 0.444849
0.22913 -0.16647 0.444849
0.239131 -0.151754 0.444849
0.248189 -0.136439 0.444849
0.256268 -0.120586 0.444849
0.263335 -0.104257 0.444849
0.269362 -0.0875169 0.444849
0.274327 -0.0704315 0.444849
0.278208 -0.0530682 0.444849
0.280992 -0.0354956 0.444849
0.282667 -0.0177829 0.444849
-----------------------------------
-----------------------------------
counter: 5
cost: 3.20988e-35
total mass  : 44.4849
partial mass: 44.4849
XM
0.283226 1.11814e-11 0.444849
0.282667 0.0177829 0.444849
0.280992 0.0354956 0.444849
0.278208 0.0530682 0.444849
0.274327 0.0704315 0.444849
0.269362 0.0875169 0.444849
0.263335 0.104257 0.444849
0.256268 0.120586 0.444849
0.248189 0.136439 0.444849
0.239131 0.151754 0.444849
0.22913 0.16647 0.444849
0.218224 0.180529 0.444849
0.206457 0.193875 0.444849
0.193875 0.206457 0.444849
0.180529 0.218224 0.444849
0.16647 0.22913 0.444849
0.151754 0.239131 0.444849
0.136439 0.248189 0.444849
0.120586 0.256268 0.444849
0.104257 0.263335 0.444849
0.0875169 0.269362 0.444849
0.0704315 0.274327 0.444849
0.0530682 0.278208 0.444849
0.0354956 0.280992 0.444849
0.0177829 0.282667 0.444849
-9.64119e-11 0.283226 0.444849
-0.0177829 0.282667 0.444849
-0.0354956 0.280992 0.444849
-0.0530682 0.278208 0.444849
-0.0704315 0.274327 0.444849
-0.0875169 0.269362 0.444849
-0.104257 0.263335 0.444849
-0.120586 0.256268 0.444849
-0.136439 0.248189 0.444849
-0.151754 0.239131 0.444849
-0.16647 0.22913 0.444849
-0.180529 0.218224 0.444849
-0.193875 0.206457 0.444849
-0.206457 0.193875 0.444849
-0.218224 0.180529 0.444849
-0.22913 0.16647 0.444849
-0.239131 0.151754 0.444849
-0.248189 0.136439 0.444849
-0.256268 0.120586 0.444849
-0.263335 0.104257 0.444849
-0.269362 0.0875169 0.444849
-0.274327 0.0704315 0.444849
-0.278208 0.0530682 0.444849
-0.280992 0.0354956 0.444849
-0.282667 0.0177829 0.444849
-0.283226 -2.04895e-10 0.444849
-0.282667 -0.0177829 0.444849
-0.280992 -0.0354956 0.444849
-0.278208 -0.0530682 0.444849
-0.274327 -0.0704315 0.444849
-0.269362 -0.0875169 0.444849
-0.263335 -0.104257 0.444849
-0.256268 -0.120586 0.444849
-0.248189 -0.136439 0.444849
-0.239131 -0.151754 0.444849
-0.22913 -0.16647 0.444849
-0.218224 -0.180529 0.444849
-0.206457 -0.193875 0.444849
-0.193875 -0.206457 0.444849
-0.180529 -0.218224 0.444849
-0.16647 -0.22913 0.444849
-0.151754 -0.239131 0.444849
-0.136439 -0.248189 0.444849
-0.120586 -0.256268 0.444849
-0.104257 -0.263335 0.444849
-0.0875169 -0.269362 0.444849
-0.0704315 -0.274327 0.444849
-0.0530682 -0.278208 0.444849
-0.0354956 -0.280992 0.444849
-0.0177829 -0.282667 0.444849
2.13342e-10 -0.283226 0.444849
0.0177829 -0.282667 0.444849
0.0354956 -0.280992 0.444849
0.0530682 -0.278208 0.444849
0.0704315 -0.274327 0.444849
0.0875169 -0.269362 0.444849
0.104257 -0.263335 0.444849
0.120586 -0.256268 0.444849
0.136439 -0.248189 0.444849
0.151754 -0.239131 0.444849
0.16647 -0.22913 0.444849
0.180529 -0.218224 0.444849
0.193875 -0.206457 0.444849
0.206457 -0.193875 0.444849
0.218224 -0.180529 0.444849
0.22913 -0.16647 0.444849
0.239131 -0.151754 0.444849
0.248189 -0.136439 0.444849
0.256268 -0.120586 0.444849
0.263335 -0.104257 0.444849
0.269362 -0.0875169 0.444849
0.274327 -0.0704315 0.444849
0.278208 -0.0530682 0.444849
0.280992 -0.0354956 0.444849
0.282667 -0.0177829 0.444849
-----------------------------------
-----------------------------------
counter: 6
cost: 2.62007e-35
total mass  : 44.4849
partial mass: 44.4849
XM
0.283226 1.20349e-11 0.444849
0.282667 0.0177829 0.444849
0.280992 0.0354956 0.444849
0.278208 0.0530682 0.444849
0.274327 0.0704315 0.444849
0.269362 0.0875169 0.444849
0.263335 0.104257 0.444849
0.256268 0.120586 0.444849
0.248189 0.136439 0.444849
0.239131 0.151754 0.444849
