before ##############################
cost: 2.22463e-08
total mass  : 125.664
partial mass: 125.664
XM
0.479568 0.449996 0.529339
0.474303 0.464568 0.529339
0.464568 0.474303 0.529339
0.449996 0.479568 0.529339
0.430364 0.480871 0.529339
0.405599 0.478837 0.529339
0.375765 0.474184 0.529339
0.341057 0.467682 0.529338
0.301787 0.460116 0.529338
0.258372 0.452247 0.529338
0.211329 0.444771 0.529338
0.16126 0.438295 0.529337
0.108845 0.433307 0.529337
0.054829 0.430169 0.529337
-1.63485e-10 0.429098 0.529337
-0.054829 0.430169 0.529337
-0.108845 0.433307 0.529337
-0.16126 0.438295 0.529337
-0.211329 0.444771 0.529338
-0.258372 0.452247 0.529338
-0.301787 0.460116 0.529338
-0.341057 0.467682 0.529338
-0.375765 0.474184 0.529339
-0.405599 0.478837 0.529339
-0.430364 0.480871 0.529339
-0.449996 0.479568 0.529339
-0.464568 0.474303 0.529339
-0.474303 0.464568 0.529339
-0.479568 0.449996 0.529339
-0.480871 0.430364 0.529339
-0.478837 0.405599 0.529339
-0.474184 0.375765 0.529339
-0.467682 0.341057 0.529338
-0.460116 0.301787 0.529338
-0.452247 0.258372 0.529338
-0.444771 0.211329 0.529338
-0.438295 0.16126 0.529337
-0.433307 0.108845 0.529337
-0.430169 0.054829 0.529337
-0.429098 2.06946e-10 0.529337
-0.430169 -0.054829 0.529337
-0.433307 -0.108845 0.529337
-0.438295 -0.16126 0.529337
-0.444771 -0.211329 0.529338
-0.452247 -0.258372 0.529338
-0.460116 -0.301787 0.529338
-0.467682 -0.341057 0.529338
-0.474184 -0.375765 0.529339
-0.478837 -0.405599 0.529339
-0.480871 -0.430364 0.529339
-0.479568 -0.449996 0.529339
-0.474303 -0.464568 0.529339
-0.464568 -0.474303 0.529339
-0.449996 -0.479568 0.529339
-0.430364 -0.480871 0.529339
-0.405599 -0.478837 0.529339
-0.375765 -0.474184 0.529339
-0.341057 -0.467682 0.529338
-0.301787 -0.460116 0.529338
-0.258372 -0.452247 0.529338
-0.211329 -0.444771 0.529338
-0.16126 -0.438295 0.529337
-0.108845 -0.433307 0.529337
-0.054829 -0.430169 0.529337
-4.66298e-11 -0.429098 0.529337
0.054829 -0.430169 0.529337
0.108845 -0.433307 0.529337
0.16126 -0.438295 0.529337
0.211329 -0.444771 0.529338
0.258372 -0.452247 0.529338
0.301787 -0.460116 0.529338
0.341057 -0.467682 0.529338
0.375765 -0.474184 0.529339
0.405599 -0.478837 0.529339
0.430364 -0.480871 0.529339
0.449996 -0.479568 0.529339
0.464568 -0.474303 0.529339
0.474303 -0.464568 0.529339
0.479568 -0.449996 0.529339
0.480871 -0.430364 0.529339
0.478837 -0.405599 0.529339
0.474184 -0.375765 0.529339
0.467682 -0.341057 0.529338
0.460116 -0.301787 0.529338
0.452247 -0.258372 0.529338
0.444771 -0.211329 0.529338
0.438295 -0.16126 0.529337
0.433307 -0.108845 0.529337
0.430169 -0.054829 0.529337
-----------------------------------
-----------------------------------
counter: 4
cost: 1.30999e-09
total mass  : 52.9338
partial mass: 52.9338
XM
0.411275 1.93775e-10 0.529337
0.413087 0.061658 0.529337
0.418429 0.122385 0.529337
0.427014 0.181278 0.529337
0.438366 0.237491 0.529337
0.451812 0.290243 0.529337
0.466501 0.338823 0.529338
0.481421 0.382591 0.529338
