before ##############################
cost: 0.00417907
total mass  : 125.664
partial mass: 125.664
XM
-0.723672 0.00496007 0.446964
-0.73703 0.00400096 0.447047
-0.747475 0.00302015 0.447114
-0.754966 0.00202277 0.447162
-0.759472 0.0010142 0.447191
-0.760976 1.84002e-16 0.447201
-0.759472 -0.0010142 0.447191
-0.754966 -0.00202277 0.447162
-0.747475 -0.00302015 0.447114
-0.73703 -0.00400096 0.447047
-0.723672 -0.00496007 0.446964
-0.707454 -0.00589269 0.446864
-0.688439 -0.00679437 0.44675
-0.666705 -0.00766111 0.446624
-0.642336 -0.00848935 0.446487
-0.615432 -0.00927598 0.446342
-0.586098 -0.0100184 0.446192
-0.554452 -0.0107143 0.446037
-0.520621 -0.0113621 0.445882
-0.484739 -0.0119602 0.445727
-0.44695 -0.0125077 0.445577
-0.407404 -0.0130038 0.445433
-0.366258 -0.013448 0.445297
-0.323675 -0.01384 0.445171
-0.279824 -0.0141797 0.445058
-0.234878 -0.0144669 0.44496
-0.189012 -0.0147018 0.444877
-0.142409 -0.0148844 0.444811
-0.0952491 -0.0150147 0.444763
-0.0477176 -0.0150929 0.444734
3.08452e-15 -0.0151189 0.444724
0.0477176 -0.0150929 0.444734
0.0952491 -0.0150147 0.444763
0.142409 -0.0148844 0.444811
0.189012 -0.0147018 0.444877
0.234878 -0.0144669 0.44496
0.279824 -0.0141797 0.445058
0.323675 -0.01384 0.445171
0.366258 -0.013448 0.445297
0.407404 -0.0130038 0.445433
0.44695 -0.0125077 0.445577
0.484739 -0.0119602 0.445727
0.520621 -0.0113621 0.445882
0.554452 -0.0107143 0.446037
0.586098 -0.0100184 0.446192
0.615432 -0.00927598 0.446342
0.642336 -0.00848935 0.446487
0.666705 -0.00766111 0.446624
0.688439 -0.00679437 0.44675
0.707454 -0.00589269 0.446864
0.723672 -0.00496007 0.446964
0.73703 -0.00400096 0.447047
0.747475 -0.00302015 0.447114
0.754966 -0.00202277 0.447162
0.759472 -0.0010142 0.447191
-----------------------------------
-----------------------------------
counter: 3
cost: 1.74809e-09
total mass  : 44.5805
partial mass: 44.5805
XM
0.707861 1.16038e-16 0.446929
0.706448 0.00108611 0.44692
0.702216 0.00216624 0.446893
0.695183 0.0032345 0.446849
0.685379 0.00428521 0.446789
0.672845 0.00531293 0.446713
0.657635 0.00631256 0.446623
0.639813 0.0072794 0.446519
0.619455 0.00820919 0.446405
0.596647 0.00909816 0.446281
0.571484 0.00994299 0.44615
0.544073 0.0107408 0.446013
0.514529 0.0114894 0.445873
0.482973 0.0121866 0.445732
0.449535 0.0128311 0.445593
0.414354 0.0134215 0.445457
0.377572 0.013957 0.445326
0.339335 0.0144369 0.445203
0.299798 0.0148609 0.44509
0.259115 0.0152285 0.444988
0.217446 0.0155397 0.444898
0.174951 0.0157944 0.444824
0.131794 0.0159924 0.444764
0.08814 0.0161339 0.444721
0.0441531 0.0162187 0.444695
4.32311e-15 0.016247 0.444686
-0.0441531 0.0162187 0.444695
-0.08814 0.0161339 0.444721
-0.131794 0.0159924 0.444764
-0.174951 0.0157944 0.444824
-0.217446 0.0155397 0.444898
-0.259115 0.0152285 0.444988
-0.299798 0.0148609 0.44509
-0.339335 0.0144369 0.445203
-0.377572 0.013957 0.445326
-0.414354 0.0134215 0.445457
-0.449535 0.0128311 0.445593
-0.482973 0.0121866 0.445732
-0.514529 0.0114894 0.445873
-0.544073 0.0107408 0.446013
-0.571484 0.00994299 0.44615
-0.596647 0.00909816 0.446281
-0.619455 0.00820919 0.446405
-0.639813 0.0072794 0.446519
-0.657635 0.00631256 0.446623
-0.672845 0.00531293 0.446713
-0.685379 0.00428521 0.446789
-0.695183 0.0032345 0.446849
-0.702216 0.00216624 0.446893
-0.706448 0.00108611 0.44692
-0.707861 2.77755e-16 0.446929
-0.706448 -0.00108611 0.44692
-0.702216 -0.00216624 0.446893
-0.695183 -0.0032345 0.446849
-0.685379 -0.00428521 0.446789
-0.672845 -0.00531293 0.446713
-0.657635 -0.00631256 0.446623
-0.639813 -0.0072794 0.446519
-0.619455 -0.00820919 0.446405
-0.596647 -0.00909816 0.446281
-0.571484 -0.00994299 0.44615
-0.544073 -0.0107408 0.446013
-0.514529 -0.0114894 0.445873
-0.482973 -0.0121866 0.445732
-0.449535 -0.0128311 0.445593
-0.414354 -0.0134215 0.445457
-0.377572 -0.013957 0.445326
-0.339335 -0.0144369 0.445203
-0.299798 -0.0148609 0.44509
-0.259115 -0.0152285 0.444988
-0.217446 -0.0155397 0.444898
-0.174951 -0.0157944 0.444824
-0.131794 -0.0159924 0.444764
-0.08814 -0.0161339 0.444721
-0.0441531 -0.0162187 0.444695
4.38151e-15 -0.016247 0.444686
0.0441531 -0.0162187 0.444695
0.08814 -0.0161339 0.444721
0.131794 -0.0159924 0.444764
0.174951 -0.0157944 0.444824
0.217446 -0.0155397 0.444898
0.259115 -0.0152285 0.444988
0.299798 -0.0148609 0.44509
0.339335 -0.0144369 0.445203
0.377572 -0.013957 0.445326
0.414354 -0.0134215 0.445457
0.449535 -0.0128311 0.445593
0.482973 -0.0121866 0.445732
0.514529 -0.0114894 0.445873
0.544073 -0.0107408 0.446013
0.571484 -0.00994299 0.44615
0.596647 -0.00909816 0.446281
0.619455 -0.00820919 0.446405
0.639813 -0.0072794 0.446519
0.657635 -0.00631256 0.446623
0.672845 -0.00531293 0.446713
0.685379 -0.00428521 0.446789
0.695183 -0.0032345 0.446849
0.702216 -0.00216624 0.446893
0.706448 -0.00108611 0.44692
-----------------------------------
-----------------------------------
counter: 4
cost: 1.74651e-09
total mass  : 44.5806
partial mass: 44.5806
XM
0.705495 1.98994e-16 0.446924
0.704086 0.00109016 0.446915
0.699865 0.00217431 0.446889
0.69285 0.00324652 0.446845
0.683071 0.00430107 0.446785
0.670569 0.00533249 0.44671
0.655399 0.00633569 0.44662
0.637624 0.00730596 0.446517
0.617321 0.00823903 0.446403
0.594575 0.00913113 0.44628
0.569483 0.00997896 0.446149
0.54215 0.0107797 0.446013
0.512692 0.011531 0.445873
0.481231 0.0122309 0.445733
0.447898 0.012878 0.445594
0.412829 0.0134709 0.445459
0.376168 0.0140088 0.445329
0.338061 0.014491 0.445207
0.298662 0.014917 0.445094
0.258125 0.0152866 0.444992
0.216609 0.0155995 0.444903
0.174273 0.0158556 0.444829
0.131281 0.0160548 0.44477
0.0877955 0.0161971 0.444727
0.0439802 0.0162825 0.444701
5.22969e-15 0.016311 0.444692
-0.0439802 0.0162825 0.444701
-0.0877955 0.0161971 0.444727
-0.131281 0.0160548 0.44477
-0.174273 0.0158556 0.444829
-0.216609 0.0155995 0.444903
-0.258125 0.0152866 0.444992
-0.298662 0.014917 0.445094
-0.338061 0.014491 0.445207
-0.376168 0.0140088 0.445329
-0.412829 0.0134709 0.445459
-0.447898 0.012878 0.445594
-0.481231 0.0122309 0.445733
-0.512692 0.011531 0.445873
-0.54215 0.0107797 0.446013
-0.569483 0.00997896 0.446149
-0.594575 0.00913113 0.44628
-0.617321 0.00823903 0.446403
-0.637624 0.00730596 0.446517
-0.655399 0.00633569 0.44662
-0.670569 0.00533249 0.44671
-0.683071 0.00430107 0.446785
-0.69285 0.00324652 0.446845
-0.699865 0.00217431 0.446889
-0.704086 0.00109016 0.446915
-0.705495 3.35589e-16 0.446924
-0.704086 -0.00109016 0.446915
-0.699865 -0.00217431 0.446889
-0.69285 -0.00324652 0.446845
-0.683071 -0.00430107 0.446785
-0.670569 -0.00533249 0.44671
-0.655399 -0.00633569 0.44662
-0.637624 -0.00730596 0.446517
-0.617321 -0.00823903 0.446403
-0.594575 -0.00913113 0.44628
-0.569483 -0.00997896 0.446149
-0.54215 -0.0107797 0.446013
-0.512692 -0.011531 0.445873
-0.481231 -0.0122309 0.445733
-0.447898 -0.012878 0.445594
-0.412829 -0.0134709 0.445459
-0.376168 -0.0140088 0.445329
-0.338061 -0.014491 0.445207
-0.298662 -0.014917 0.445094
-0.258125 -0.0152866 0.444992
-0.216609 -0.0155995 0.444903
-0.174273 -0.0158556 0.444829
