before ##############################
cost: 0.417967
total mass  : 125.664
partial mass: 125.664
XM
-0.269989 0.152529 0.444585
-0.226405 0.156382 0.444573
-0.182048 0.159575 0.444563
-0.137074 0.162084 0.444554
-0.0916384 0.163889 0.444549
-0.0458958 0.164978 0.444545
1.20073e-16 0.165342 0.444544
0.0458958 0.164978 0.444545
0.0916384 0.163889 0.444549
0.137074 0.162084 0.444554
0.182048 0.159575 0.444563
0.226405 0.156382 0.444573
0.269989 0.152529 0.444585
0.312641 0.148041 0.444598
0.354203 0.142951 0.444614
0.394514 0.137293 0.44463
0.433414 0.131103 0.444648
0.470744 0.124419 0.444667
0.506344 0.117281 0.444686
0.54006 0.109728 0.444705
0.571736 0.1018 0.444724
0.601227 0.0935353 0.444743
0.628389 0.0849726 0.444761
0.653089 0.0761484 0.444778
0.675201 0.0670977 0.444793
0.694611 0.057854 0.444808
0.711217 0.0484488 0.44482
0.72493 0.0389122 0.444831
0.735675 0.0292725 0.444839
0.743393 0.0195567 0.444845
0.748041 0.00979076 0.444849
-----------------------------------
-----------------------------------
counter: 4
cost: 8.28791e-10
total mass  : 44.4695
partial mass: 44.4695
XM
0.729643 -1.08166e-16 0.444839
0.728116 -0.00997583 0.444838
0.723546 -0.0199293 0.444835
0.715958 -0.0298377 0.444829
0.705399 -0.0396771 0.444821
0.691929 -0.0494224 0.444811
0.675626 -0.0590466 0.4448
0.656583 -0.0685206 0.444786
0.634906 -0.0778131 0.444772
0.610711 -0.0868903 0.444756
0.584128 -0.0957162 0.444739
0.555294 -0.104252 0.444721
0.524351 -0.112458 0.444703
0.49145 -0.120293 0.444685
0.456743 -0.127712 0.444668
0.420385 -0.134672 0.44465
0.382534 -0.141131 0.444634
0.343345 -0.147045 0.444618
0.302974 -0.152374 0.444604
0.261577 -0.157079 0.444591
0.219304 -0.161125 0.44458
0.176306 -0.16448 0.44457
0.132731 -0.167119 0.444563
0.088726 -0.169019 0.444557
0.0444344 -0.170166 0.444554
1.16299e-16 -0.170549 0.444553
-0.0444344 -0.170166 0.444554
-0.088726 -0.169019 0.444557
-0.132731 -0.167119 0.444563
-0.176306 -0.16448 0.44457
-0.219304 -0.161125 0.44458
-0.261577 -0.157079 0.444591
-0.302974 -0.152374 0.444604
-0.343345 -0.147045 0.444618
-0.382534 -0.141131 0.444634
-0.420385 -0.134672 0.44465
-0.456743 -0.127712 0.444668
-0.49145 -0.120293 0.444685
-0.524351 -0.112458 0.444703
-0.555294 -0.104252 0.444721
-0.584128 -0.0957162 0.444739
-0.610711 -0.0868903 0.444756
-0.634906 -0.0778131 0.444772
-0.656583 -0.0685206 0.444786
-0.675626 -0.0590466 0.4448
-0.691929 -0.0494224 0.444811
-0.705399 -0.0396771 0.444821
-0.715958 -0.0298377 0.444829
-0.723546 -0.0199293 0.444835
-0.728116 -0.00997583 0.444838
-0.729643 8.93045e-17 0.444839
-0.728116 0.00997583 0.444838
-0.723546 0.0199293 0.444835
-0.715958 0.0298377 0.444829
-0.705399 0.0396771 0.444821
-0.691929 0.0494224 0.444811
-0.675626 0.0590466 0.4448
-0.656583 0.0685206 0.444786
-0.634906 0.0778131 0.444772
-0.610711 0.0868903 0.444756
-0.584128 0.0957162 0.444739
-0.555294 0.104252 0.444721
-0.524351 0.112458 0.444703
-0.49145 0.120293 0.444685
-0.456743 0.127712 0.444668
-0.420385 0.134672 0.44465
-0.382534 0.141131 0.444634
-0.343345 0.147045 0.444618
-0.302974 0.152374 0.444604
-0.261577 0.157079 0.444591
-0.219304 0.161125 0.44458
-0.176306 0.16448 0.44457
-0.132731 0.167119 0.444563
-0.088726 0.169019 0.444557
-0.0444344 0.170166 0.444554
1.57107e-16 0.170549 0.444553
0.0444344 0.170166 0.444554
0.088726 0.169019 0.444557
0.132731 0.167119 0.444563
0.176306 0.16448 0.44457
0.219304 0.161125 0.44458
0.261577 0.157079 0.444591
0.302974 0.152374 0.444604
0.343345 0.147045 0.444618
0.382534 0.141131 0.444634
0.420385 0.134672 0.44465
0.456743 0.127712 0.444668
0.49145 0.120293 0.444685
0.524351 0.112458 0.444703
0.555294 0.104252 0.444721
0.584128 0.0957162 0.444739
0.610711 0.0868903 0.444756
0.634906 0.0778131 0.444772
0.656583 0.0685206 0.444786
0.675626 0.0590466 0.4448
0.691929 0.0494224 0.444811
0.705399 0.0396771 0.444821
0.715958 0.0298377 0.444829
0.723546 0.0199293 0.444835
0.728116 0.00997583 0.444838
-----------------------------------
-----------------------------------
counter: 5
cost: 8.27942e-10
total mass  : 44.4695
partial mass: 44.4695
XM
0.729852 -1.07923e-16 0.444839
0.728312 -0.00989813 0.444838
0.723702 -0.0197769 0.444835
0.716051 -0.0296165 0.444829
0.705405 -0.0393958 0.444821
0.691831 -0.0490919 0.444811
0.67541 -0.05868 0.4448
0.656238 -0.0681325 0.444786
0.634428 -0.0774193 0.444771
0.610102 -0.0865071 0.444756
0.583394 -0.0953597 0.444739
